綜合其他,#genre#
民視影劇,http://192.168.100.1:50007/li-litv-ftv09/index.m3u8?token=amWXYtITJkOpVHr2vrlj5z93iGlNgkm8NcjnDUwDI4HeVXLvjH7wiDj6thJj2vUW
采昌影劇,http://192.168.100.1:50007/li-4gtv-4gtv049/index.m3u8?token=amWXYtITJkOpVHr2vrlj5z93iGlNgkm8NcjnDUwDI4HeVXLvjH7wiDj6thJj2vUW
靖天戲劇,http://192.168.100.1:50007/li-4gtv-4gtv058/index.m3u8?token=amWXYtITJkOpVHr2vrlj5z93iGlNgkm8NcjnDUwDI4HeVXLvjH7wiDj6thJj2vUW
靖洋戲劇,http://192.168.100.1:50007/li-4gtv-4gtv045/index.m3u8?token=amWXYtITJkOpVHr2vrlj5z93iGlNgkm8NcjnDUwDI4HeVXLvjH7wiDj6thJj2vUW
靖天映畫,http://192.168.100.1:50007/li-4gtv-4gtv055/index.m3u8?token=amWXYtITJkOpVHr2vrlj5z93iGlNgkm8NcjnDUwDI4HeVXLvjH7wiDj6thJj2vUW
靖天電影,http://192.168.100.1:50007/li-4gtv-4gtv061/index.m3u8?token=amWXYtITJkOpVHr2vrlj5z93iGlNgkm8NcjnDUwDI4HeVXLvjH7wiDj6thJj2vUW
影迷數位電影台,http://192.168.100.1:50007/li-4gtv-4gtv011/index.m3u8?token=amWXYtITJkOpVHr2vrlj5z93iGlNgkm8NcjnDUwDI4HeVXLvjH7wiDj6thJj2vUW
amc電影台,http://192.168.100.1:50007/li-4gtv-4gtv017/index.m3u8?token=amWXYtITJkOpVHr2vrlj5z93iGlNgkm8NcjnDUwDI4HeVXLvjH7wiDj6thJj2vUW
台灣戲劇台,http://192.168.100.1:50007/li-litv-longturn22/index.m3u8?token=amWXYtITJkOpVHr2vrlj5z93iGlNgkm8NcjnDUwDI4HeVXLvjH7wiDj6thJj2vUW
台灣戲劇台,http://192.168.100.1:50007/litv-longturn22/index.m3u8?token=amWXYtITJkOpVHr2vrlj5z93iGlNgkm8NcjnDUwDI4HeVXLvjH7wiDj6thJj2vUW
公視戲劇,http://192.168.100.1:50007/li-4gtv-4gtv042/index.m3u8?token=amWXYtITJkOpVHr2vrlj5z93iGlNgkm8NcjnDUwDI4HeVXLvjH7wiDj6thJj2vUW

音樂綜藝,#genre#
民視綜藝,http://192.168.100.1:50007/li-4gtv-4gtv004/index.m3u8?token=amWXYtITJkOpVHr2vrlj5z93iGlNgkm8NcjnDUwDI4HeVXLvjH7wiDj6thJj2vUW
八大綜藝,http://192.168.100.1:50007/li-4gtv-4gtv039/index.m3u8?token=amWXYtITJkOpVHr2vrlj5z93iGlNgkm8NcjnDUwDI4HeVXLvjH7wiDj6thJj2vUW
八大精彩,http://192.168.100.1:50007/li-4gtv-4gtv034/index.m3u8?token=amWXYtITJkOpVHr2vrlj5z93iGlNgkm8NcjnDUwDI4HeVXLvjH7wiDj6thJj2vUW
TVBS精采台,http://192.168.100.1:50007/li-4gtv-4gtv067/index.m3u8?token=amWXYtITJkOpVHr2vrlj5z93iGlNgkm8NcjnDUwDI4HeVXLvjH7wiDj6thJj2vUW
TVBS歡樂台,http://192.168.100.1:50007/li-4gtv-4gtv068/index.m3u8?token=amWXYtITJkOpVHr2vrlj5z93iGlNgkm8NcjnDUwDI4HeVXLvjH7wiDj6thJj2vUW
ELTA娛樂,http://192.168.100.1:50007/li-4gtv-4gtv070/index.m3u8?token=amWXYtITJkOpVHr2vrlj5z93iGlNgkm8NcjnDUwDI4HeVXLvjH7wiDj6thJj2vUW
豬哥亮歌廳秀,http://192.168.100.1:50007/li-4gtv-4gtv006/index.m3u8?token=amWXYtITJkOpVHr2vrlj5z93iGlNgkm8NcjnDUwDI4HeVXLvjH7wiDj6thJj2vUW
TRACE Urban,http://192.168.100.1:50007/li-4gtv-4gtv082/index.m3u8?token=amWXYtITJkOpVHr2vrlj5z93iGlNgkm8NcjnDUwDI4HeVXLvjH7wiDj6thJj2vUW
Mezzo Live HD,http://192.168.100.1:50007/li-4gtv-4gtv083/index.m3u8?token=amWXYtITJkOpVHr2vrlj5z93iGlNgkm8NcjnDUwDI4HeVXLvjH7wiDj6thJj2vUW
CLASSICA古典樂,http://192.168.100.1:50007/li-4gtv-4gtv059/index.m3u8?token=amWXYtITJkOpVHr2vrlj5z93iGlNgkm8NcjnDUwDI4HeVXLvjH7wiDj6thJj2vUW

體育競技,#genre#
智林體育,http://192.168.100.1:50007/li-4gtv-4gtv101/index.m3u8?token=amWXYtITJkOpVHr2vrlj5z93iGlNgkm8NcjnDUwDI4HeVXLvjH7wiDj6thJj2vUW
時尚運動X,http://192.168.100.1:50007/li-4gtv-4gtv014/index.m3u8?token=amWXYtITJkOpVHr2vrlj5z93iGlNgkm8NcjnDUwDI4HeVXLvjH7wiDj6thJj2vUW
博斯魅力台,http://192.168.100.1:50007/litv-longturn04/index.m3u8?token=amWXYtITJkOpVHr2vrlj5z93iGlNgkm8NcjnDUwDI4HeVXLvjH7wiDj6thJj2vUW
博斯高球一台,http://192.168.100.1:50007/litv-longturn05/index.m3u8?token=amWXYtITJkOpVHr2vrlj5z93iGlNgkm8NcjnDUwDI4HeVXLvjH7wiDj6thJj2vUW
博斯高球二台,http://192.168.100.1:50007/litv-longturn06/index.m3u8?token=amWXYtITJkOpVHr2vrlj5z93iGlNgkm8NcjnDUwDI4HeVXLvjH7wiDj6thJj2vUW
博斯運動一台,http://192.168.100.1:50007/litv-longturn07/index.m3u8?token=amWXYtITJkOpVHr2vrlj5z93iGlNgkm8NcjnDUwDI4HeVXLvjH7wiDj6thJj2vUW
博斯運動二台,http://192.168.100.1:50007/litv-longturn08/index.m3u8?token=amWXYtITJkOpVHr2vrlj5z93iGlNgkm8NcjnDUwDI4HeVXLvjH7wiDj6thJj2vUW
博斯網球台,http://192.168.100.1:50007/litv-longturn09/index.m3u8?token=amWXYtITJkOpVHr2vrlj5z93iGlNgkm8NcjnDUwDI4HeVXLvjH7wiDj6thJj2vUW
博斯無限台,http://192.168.100.1:50007/litv-longturn10/index.m3u8?token=amWXYtITJkOpVHr2vrlj5z93iGlNgkm8NcjnDUwDI4HeVXLvjH7wiDj6thJj2vUW
博斯無限二台,http://192.168.100.1:50007/litv-longturn13/index.m3u8?token=amWXYtITJkOpVHr2vrlj5z93iGlNgkm8NcjnDUwDI4HeVXLvjH7wiDj6thJj2vUW
GINX Esports TV,http://192.168.100.1:50007/li-4gtv-4gtv053/index.m3u8?token=amWXYtITJkOpVHr2vrlj5z93iGlNgkm8NcjnDUwDI4HeVXLvjH7wiDj6thJj2vUW
TRACE Sport Stars,http://192.168.100.1:50007/li-4gtv-4gtv077/index.m3u8?token=amWXYtITJkOpVHr2vrlj5z93iGlNgkm8NcjnDUwDI4HeVXLvjH7wiDj6thJj2vUW

生活旅遊,#genre#
民視旅遊,http://192.168.100.1:50007/li-litv-ftv07/index.m3u8?token=amWXYtITJkOpVHr2vrlj5z93iGlNgkm8NcjnDUwDI4HeVXLvjH7wiDj6thJj2vUW
亞洲旅遊,http://192.168.100.1:50007/li-4gtv-4gtv076/index.m3u8?token=amWXYtITJkOpVHr2vrlj5z93iGlNgkm8NcjnDUwDI4HeVXLvjH7wiDj6thJj2vUW
亞洲旅遊,http://192.168.100.1:50007/of-4gtv-4gtv076/index.m3u8?token=amWXYtITJkOpVHr2vrlj5z93iGlNgkm8NcjnDUwDI4HeVXLvjH7wiDj6thJj2vUW
Smart知識台,http://192.168.100.1:50007/li-litv-longturn19/index.m3u8?token=amWXYtITJkOpVHr2vrlj5z93iGlNgkm8NcjnDUwDI4HeVXLvjH7wiDj6thJj2vUW
Smart知識台,http://192.168.100.1:50007/litv-longturn19/index.m3u8?token=amWXYtITJkOpVHr2vrlj5z93iGlNgkm8NcjnDUwDI4HeVXLvjH7wiDj6thJj2vUW
Pet Club TV,http://192.168.100.1:50007/li-4gtv-4gtv110/index.m3u8?token=amWXYtITJkOpVHr2vrlj5z93iGlNgkm8NcjnDUwDI4HeVXLvjH7wiDj6thJj2vUW

兒童卡通,#genre#
達文西頻道,http://192.168.100.1:50007/li-4gtv-4gtv018/index.m3u8?token=amWXYtITJkOpVHr2vrlj5z93iGlNgkm8NcjnDUwDI4HeVXLvjH7wiDj6thJj2vUW
達文西頻道,http://192.168.100.1:50007/li-4gtv-4gtv018/index.m3u8?token=amWXYtITJkOpVHr2vrlj5z93iGlNgkm8NcjnDUwDI4HeVXLvjH7wiDj6thJj2vUW
ELTV生活英語台,http://192.168.100.1:50007/li-litv-longturn20/index.m3u8?token=amWXYtITJkOpVHr2vrlj5z93iGlNgkm8NcjnDUwDI4HeVXLvjH7wiDj6thJj2vUW
ELTV生活英語台,http://192.168.100.1:50007/of-litv-longturn20/index.m3u8?token=amWXYtITJkOpVHr2vrlj5z93iGlNgkm8NcjnDUwDI4HeVXLvjH7wiDj6thJj2vUW
靖天卡通,http://192.168.100.1:50007/li-4gtv-4gtv044/index.m3u8?token=amWXYtITJkOpVHr2vrlj5z93iGlNgkm8NcjnDUwDI4HeVXLvjH7wiDj6thJj2vUW
靖天卡通,http://192.168.100.1:50007/li-4gtv-4gtv044/index.m3u8?token=amWXYtITJkOpVHr2vrlj5z93iGlNgkm8NcjnDUwDI4HeVXLvjH7wiDj6thJj2vUW
靖洋卡通,http://192.168.100.1:50007/li-4gtv-4gtv057/index.m3u8?token=amWXYtITJkOpVHr2vrlj5z93iGlNgkm8NcjnDUwDI4HeVXLvjH7wiDj6thJj2vUW
靖洋卡通,http://192.168.100.1:50007/li-4gtv-4gtv057/index.m3u8?token=amWXYtITJkOpVHr2vrlj5z93iGlNgkm8NcjnDUwDI4HeVXLvjH7wiDj6thJj2vUW
龍華卡通,http://192.168.100.1:50007/li-litv-longturn01/index.m3u8?token=amWXYtITJkOpVHr2vrlj5z93iGlNgkm8NcjnDUwDI4HeVXLvjH7wiDj6thJj2vUW
龍華卡通,http://192.168.100.1:50007/litv-longturn01/index.m3u8?token=amWXYtITJkOpVHr2vrlj5z93iGlNgkm8NcjnDUwDI4HeVXLvjH7wiDj6thJj2vUW

紀實探索,#genre#
視納華仁紀實頻道,http://192.168.100.1:50007/li-4gtv-4gtv013/index.m3u8?token=amWXYtITJkOpVHr2vrlj5z93iGlNgkm8NcjnDUwDI4HeVXLvjH7wiDj6thJj2vUW
影迷數位紀實台,http://192.168.100.1:50007/li-litv-ftv15/index.m3u8?token=amWXYtITJkOpVHr2vrlj5z93iGlNgkm8NcjnDUwDI4HeVXLvjH7wiDj6thJj2vUW
